model,mean_AUROC,mean_PR_AUC,micro_F1,macro_F1,micro_precision,micro_recall,labels_without_positives,ECE
resnet18,0.7384113889043549,0.18113224957877763,0.2421627169247994,0.20057958554967362,0.1424064523208603,0.8085669781931464,0,0.36485312963043504
vgg19,0.522938433219803,0.08486210758870659,0.15417567792380635,0.08939924017587235,0.08896515311510032,0.5774143302180685,0,0.4208275836798407
customcnn,0.6250202135791973,0.10804449850373732,0.17688591601635079,0.1592948654556526,0.09977840330598312,0.7785046728971963,0,0.4466205824148908
